season,team,TEAM_ABBREVIATION,first_name,last_name,full_name,position,salary,MIN,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,PTS,mp,raptor_offense,raptor_defense,raptor_total,war_total
2000,Denver Nuggets,ORL,Cory,Alexander,Cory Alexander,Shooting Guard and Point Guard,2160000,223.4383333,0.321,0.25,0.667,25,36,25,16,0,52,329,-3.062184592,1.152281449,-1.909903143,0.142532204
2001,Washington Wizards,WAS,Courtney,Alexander,Courtney Alexander,Point Guard and Shooting Guard,1418400,1323.14,0.47,0.278,0.81,148,86,60,35,7,549,1382,-2.728362903,-2.772185087,-5.50054799,-1.951800724
2002,New Orleans Hornets,NOH,Courtney,Alexander,Courtney Alexander,Point Guard and Shooting Guard,1517280,1358.69,0.382,0.333,0.808,118,79,68,31,6,523,1325,-0.751698229,-1.947763529,-2.699461758,0.034136283
2009,Chicago Bulls,CHI,Joe,Alexander,Joe Alexander,Small Forward,2583360,28.89833333,0.167,0,0.667,5,2,0,1,1,4,716,-2.653116291,-1.555905432,-4.209021722,-0.536807295
2012,Philadelphia 76ers,PHI,Lavoy,Allen,Lavoy Allen,Power Forward and Center,3000000,1668.701667,0.454,0,0.717,395,73,55,24,55,455,860,-1.125430285,1.46725352,0.341823235,1.394752389
2013,Philadelphia 76ers,TOT,Lavoy,Allen,Lavoy Allen,Power Forward and Center,3060000,1071.458333,0.447,0.154,0.66,311,71,44,24,33,303,1669,-3.257378805,0.41698639,-2.840392415,-0.076596311
2013,Philadelphia 76ers,IND,Lavoy,Allen,Lavoy Allen,Power Forward and Center,3060000,111.5033333,0.5,0,0.6,34,6,4,2,6,40,1669,-3.257378805,0.41698639,-2.840392415,-0.076596311
2013,Philadelphia 76ers,PHI,Lavoy,Allen,Lavoy Allen,Power Forward and Center,3060000,959.955,0.44,0.154,0.675,277,65,40,22,27,263,1669,-3.257378805,0.41698639,-2.840392415,-0.076596311
2014,Indiana Pacers,IND,Lavoy,Allen,Lavoy Allen,Power Forward and Center,948163,1070.048333,0.472,0,0.702,323,73,40,15,42,315,1087,-2.71047982,-0.31668423,-3.02716405,-0.152261528
2015,Indiana Pacers,IND,Lavoy,Allen,Lavoy Allen,Power Forward and Center,3700000,1598.806667,0.516,0,0.63,424,76,69,26,42,428,1070,-0.407116554,1.648250636,1.241134083,2.164894374
2016,Indiana Pacers,IND,Lavoy,Allen,Lavoy Allen,Power Forward and Center,4000000,871.3216667,0.458,0,0.697,219,57,29,18,24,177,1650,-0.763857588,-0.427440292,-1.191297881,1.288226225
2002,Miami Heat,MIA,Malik,Allen,Malik Allen,Power Forward,512435,2320.34,0.424,0,0.802,425,54,128,37,78,767,161,-1.041714199,0.287633241,-0.754080958,0.162898917
2003,Miami Heat,MIA,Malik,Allen,Malik Allen,Power Forward,1510000,615.7333333,0.419,0,0.758,119,16,27,12,28,191,2318,-4.722089379,-0.738316421,-5.460405799,-3.19988899
2004,Miami Heat,TOT,Malik,Allen,Malik Allen,Power Forward,1950625,515.8183333,0.475,0,0.929,99,18,18,9,22,194,754,-2.924804273,-0.80074952,-3.725553794,-0.364762038
2004,Miami Heat,CHA,Malik,Allen,Malik Allen,Power Forward,1950625,267.03,0.485,0,0.929,47,7,7,5,11,111,754,-2.924804273,-0.80074952,-3.725553794,-0.364762038
2004,Miami Heat,MIA,Malik,Allen,Malik Allen,Power Forward,1950625,248.7883333,0.461,0,0.929,52,11,11,4,11,83,754,-2.924804273,-0.80074952,-3.725553794,-0.364762038
2005,Chicago Bulls,CHI,Malik,Allen,Malik Allen,Power Forward,1670000,701.4716667,0.49,1,0.605,140,20,34,14,16,266,519,-1.714954747,-2.18280192,-3.897756667,-0.30173692
2006,Chicago Bulls,CHI,Malik,Allen,Malik Allen,Power Forward,1803600,638.3333333,0.415,0,0.824,119,16,21,17,16,242,817,-3.570615034,0.6010827,-2.969532334,-0.093188278
2007,Dallas Mavericks,TOT,Malik,Allen,Malik Allen,Power Forward,998398,1095.738333,0.48,0.5,0.92,196,44,45,19,31,338,672,-3.926302411,0.001277369,-3.925025041,-0.418101309
2007,Dallas Mavericks,DAL,Malik,Allen,Malik Allen,Power Forward,998398,332.505,0.5,0,0.917,68,15,13,4,10,77,672,-3.926302411,0.001277369,-3.925025041,-0.418101309
2007,Dallas Mavericks,NJN,Malik,Allen,Malik Allen,Power Forward,998398,763.2333333,0.475,0.5,0.923,128,29,32,15,21,261,672,-3.926302411,0.001277369,-3.925025041,-0.418101309
2008,Milwaukee Bucks,MIL,Malik,Allen,Malik Allen,Power Forward,1300000,578.625,0.429,0,0.476,103,35,20,7,12,156,1114,-3.087112949,-1.24086093,-4.32797388,-0.903701248
2009,Denver Nuggets,DEN,Malik,Allen,Malik Allen,Power Forward,1300000,456.43,0.397,0.167,0.923,82,16,22,11,5,105,579,-3.825968404,-0.315454109,-4.141422514,-0.412587964
2010,Orlando Magic,ORL,Malik,Allen,Malik Allen,Power Forward,1229255,178.3016667,0.355,0,0.5,32,4,3,1,4,23,467,-4.512084185,-2.577140675,-7.08922486,-1.037663133
2000,Milwaukee Bucks,MIL,Ray,Allen,Ray Allen,Shooting Guard,10130000,3131.068333,0.48,0.433,0.888,428,374,204,124,20,1806,3256,4.592340939,-1.028035345,3.564305594,10.49014269
2001,Milwaukee Bucks,MIL,Ray,Allen,Ray Allen,Shooting Guard,11250000,2525.736667,0.462,0.434,0.873,312,271,159,88,18,1503,3897,7.058893474,0.103691264,7.162584739,19.79155549
