2008-09,2009,2008,Rafer Alston,Orlando Magic,Point Guard,4900000
2009-10,2010,2009,Rafer Alston,New Jersey Nets,Point Guard,4300000
2009-10,2010,2009,Rafer Alston,Miami Heat,Point Guard,753133
1995-96,1996,1995,John Amaechi,Cleveland Cavaliers,Power Forward and Center,200000
1999-00,2000,1999,John Amaechi,Orlando Magic,Power Forward and Center,385000
2000-01,2001,2000,John Amaechi,Orlando Magic,Power Forward and Center,600000
2001-02,2002,2001,John Amaechi,Utah Jazz,Power Forward and Center,2175000
2002-03,2003,2002,John Amaechi,Utah Jazz,Power Forward and Center,2392500
2003-04,2004,2003,John Amaechi,New York Knicks,Power Forward and Center,2610000
2004-05,2005,2004,John Amaechi,New York Knicks,Power Forward and Center,1200000
1995-96,1996,1995,Ashraf Amaya,Vancouver Grizzlies,Power Forward,225000
1996-97,1997,1996,Ashraf Amaya,Washington Bullets,Power Forward,247500
2010-11,2011,2010,Al-Farouq Aminu,Los Angeles Clippers,Power Forward and Small Forward,2563320
2011-12,2012,2011,Al-Farouq Aminu,New Orleans Hornets,Power Forward and Small Forward,2755560
2012-13,2013,2012,Al-Farouq Aminu,New Orleans Hornets,Power Forward and Small Forward,2947800
2013-14,2014,2013,Al-Farouq Aminu,New Orleans Pelicans,Power Forward and Small Forward,3700000
2014-15,2015,2014,Al-Farouq Aminu,Dallas Mavericks,Power Forward and Small Forward,981084
2015-16,2016,2015,Al-Farouq Aminu,Portland Trail Blazers,Power Forward and Small Forward,7500000
2016-17,2017,2016,Al-Farouq Aminu,Portland Trail Blazers,Power Forward and Small Forward,7680965
2017-18,2018,2017,Al-Farouq Aminu,Portland Trail Blazers,Power Forward and Small Forward,7319035
2006-07,2007,2006,Lou Amundson,Philadelphia 76ers,Power Forward,105696
2006-07,2007,2006,Lou Amundson,Sacramento Kings,Power Forward,75000
2006-07,2007,2006,Lou Amundson,Utah Jazz,Power Forward,35232
2007-08,2008,2007,Lou Amundson,Philadelphia 76ers,Power Forward,687456
2008-09,2009,2008,Lou Amundson,Phoenix Suns,Power Forward,797581
2009-10,2010,2009,Lou Amundson,Phoenix Suns,Power Forward,855189
2010-11,2011,2010,Lou Amundson,Golden State Warriors,Power Forward,2225000
2011-12,2012,2011,Lou Amundson,Indiana Pacers,Power Forward,2403000
2012-13,2013,2012,Lou Amundson,Minnesota Timberwolves,Power Forward,1069509
2014-15,2015,2014,Lou Amundson,New York Knicks,Power Forward,409167
2015-16,2016,2015,Lou Amundson,New York Knicks,Power Forward,1650000
2016-17,2017,2016,Lou Amundson,New York Knicks,Power Forward,1551659
2001-02,2002,2001,Chris Andersen,Denver Nuggets,Power Forward and Center,288171
2002-03,2003,2002,Chris Andersen,Denver Nuggets,Power Forward and Center,512435
2003-04,2004,2003,Chris Andersen,Denver Nuggets,Power Forward and Center,638679
2004-05,2005,2004,Chris Andersen,New Orleans Hornets,Power Forward and Center,1600000
2005-06,2006,2005,Chris Andersen,New Orleans/Oklahoma City Hornets,Power Forward and Center,3500000
2008-09,2009,2008,Chris Andersen,Denver Nuggets,Power Forward and Center,998398
2009-10,2010,2009,Chris Andersen,Denver Nuggets,Power Forward and Center,3650000
2010-11,2011,2010,Chris Andersen,Denver Nuggets,Power Forward and Center,4533300
2011-12,2012,2011,Chris Andersen,Denver Nuggets,Power Forward and Center,4234000
2012-13,2013,2012,Chris Andersen,Denver Nuggets,Power Forward and Center,4526000
2012-13,2013,2012,Chris Andersen,Miami Heat,Power Forward and Center,699952
2013-14,2014,2013,Chris Andersen,Miami Heat,Power Forward and Center,1399507
2014-15,2015,2014,Chris Andersen,Miami Heat,Power Forward and Center,5375000
2015-16,2016,2015,Chris Andersen,Memphis Grizzlies,Power Forward and Center,5000000
2016-17,2017,2016,Chris Andersen,Charlotte Hornets,Power Forward and Center,1551659
2009-10,2010,2009,David Andersen,Houston Rockets,Power Forward and Center,2300000
2010-11,2011,2010,David Andersen,New Orleans Hornets,Power Forward and Center,2500000
2005-06,2006,2005,Alan Anderson,Charlotte Bobcats,Shooting Guard and Small Forward,398762
2006-07,2007,2006,Alan Anderson,Charlotte Bobcats,Shooting Guard and Small Forward,102131
2012-13,2013,2012,Alan Anderson,Toronto Raptors,Shooting Guard and Small Forward,885120
2013-14,2014,2013,Alan Anderson,Brooklyn Nets,Shooting Guard and Small Forward,947907
2014-15,2015,2014,Alan Anderson,Brooklyn Nets,Shooting Guard and Small Forward,1276061
2015-16,2016,2015,Alan Anderson,Washington Wizards,Shooting Guard and Small Forward,4000000
2016-17,2017,2016,Alan Anderson,Los Angeles Clippers,Shooting Guard and Small Forward,1315448
1997-98,1998,1997,Derek Anderson,Cleveland Cavaliers,Shooting Guard and Small Forward and Point Guard,1107240
1998-99,1999,1998,Derek Anderson,Cleveland Cavaliers,Shooting Guard and Small Forward and Point Guard,1273000
1999-00,2000,1999,Derek Anderson,Los Angeles Clippers,Shooting Guard and Small Forward and Point Guard,1439400
2000-01,2001,2000,Derek Anderson,San Antonio Spurs,Shooting Guard and Small Forward and Point Guard,2250000
2001-02,2002,2001,Derek Anderson,Portland Trail Blazers,Shooting Guard and Small Forward and Point Guard,6495000
2002-03,2003,2002,Derek Anderson,Portland Trail Blazers,Shooting Guard and Small Forward and Point Guard,7144500
2003-04,2004,2003,Derek Anderson,Portland Trail Blazers,Shooting Guard and Small Forward and Point Guard,7794000
2004-05,2005,2004,Derek Anderson,Portland Trail Blazers,Shooting Guard and Small Forward and Point Guard,8443500
2005-06,2006,2005,Derek Anderson,Portland Trail Blazers,Shooting Guard and Small Forward and Point Guard,9093000
2005-06,2006,2005,Derek Anderson,Houston Rockets,Shooting Guard and Small Forward and Point Guard,1670000
2006-07,2007,2006,Derek Anderson,Portland Trail Blazers,Shooting Guard and Small Forward and Point Guard,9742500
2006-07,2007,2006,Derek Anderson,Charlotte Bobcats,Shooting Guard and Small Forward and Point Guard,901397
2006-07,2007,2006,Derek Anderson,Miami Heat,Shooting Guard and Small Forward and Point Guard,400000
2007-08,2008,2007,Derek Anderson,Charlotte Bobcats,Shooting Guard and Small Forward and Point Guard,1219590
1992-93,1993,1992,Eric Anderson,New York Knicks,Power Forward,140000
1993-94,1994,1993,Eric Anderson,New York Knicks,Power Forward,250000
1987-88,1988,1987,Greg Anderson,San Antonio Spurs,Center and Power Forward,185000
1988-89,1989,1988,Greg Anderson,San Antonio Spurs,Center and Power Forward,200000
1990-91,1991,1990,Greg Anderson,Denver Nuggets,Center and Power Forward,1365000
1991-92,1992,1991,Greg Anderson,Denver Nuggets,Center and Power Forward,1465000
1993-94,1994,1993,Greg Anderson,Detroit Pistons,Center and Power Forward,650000
